Show,Date,Episode, Mins ,Secs,Goal,Announced
1, 14 Jan 2011,Hypercritical 1: Dream Crusher, 57.8 ,3465,Before,No
2, 21 Jan 2011,Hypercritical 2: Backup Vortex, 74.7 ,4482,Before,No
3, 28 Jan 2011,Hypercritical 3: The Mouse is Not a Finger, 69.4 ,4165,Before,No
4, 04 Feb 2011,Hypercritical 4: iOS vs. The World, 64.6 ,3873,Before,No
5, 11 Feb 2011,Hypercritical 5: Slippery Little Pill, 61.1 ,3663,Before,No
6, 18 Feb 2011,Hypercritical 6: Frivolous Things, 103.8 ,6227,Before,No
7, 25 Feb 2011,Hypercritical 7: ThunderCats, 90.4 ,5426,Before,No
8, 04 Mar 2011,Hypercritical 8: A Cautionary Tale, 76.6 ,4597,Before,No
9, 11 Mar 2011,Hypercritical 9: No iLife is an Island, 65.3 ,3918,Before,No
10, 18 Mar 2011,Hypercritical 10: Like Giving a Machine Gun to a Baby, 85.5 ,5129,Before,No
11, 25 Mar 2011,Hypercritical 11: I Am the Steve Jobs of This Sandwich, 78.3 ,4700,Before,No
12, 01 Apr 2011,Hypercritical 12: Nothing Is So Perfect, 72.4 ,4345,Before,No
13, 08 Apr 2011,Hypercritical 13: The Tortoise and the Hare, 84.6 ,5078,Before,No
14, 15 Apr 2011,Hypercritical 14: A Dark Age of Objective-C, 86.6 ,5194,Before,No
15, 29 Apr 2011,Hypercritical 15: The Bridges of Siracusa County, 103.3 ,6197,Before,No
16, 06 May 2011,Hypercritical 16: The Soap Opera Effect, 102.0 ,6120,Before,No
17, 13 May 2011,Hypercritical 17: Intruding Gooseneck, 94.8 ,5689,Before,No
18, 20 May 2011,Hypercritical 18: Worse and More Diverse, 73.6 ,4416,Before,No
19, 27 May 2011,Hypercritical 19: Don't Make Me Read, 58.2 ,3494,Before,No
20, 04 Jun 2011,Hypercritical 20: I've Got Nothing, 46.0 ,2761,Before,No
21, 10 Jun 2011,Hypercritical 21: Reading Playboy for the Articles, 103.8 ,6229,Before,No
22, 18 Jun 2011,Hypercritical 22: I Would Not Build Underground, 77.2 ,4634,Before,No
23, 24 Jun 2011,Hypercritical 23: No Sentence Left Behind, 102.9 ,6172,Before,No
24, 02 Jul 2011,Hypercritical 24: Sometimes It Hurts, 72.3 ,4338,Before,No
25, 06 Jul 2011,Hypercritical 25: Invisible Software, 76.2 ,4572,Before,No
26, 13 Jul 2011,Hypercritical 26: White Smoke, 67.6 ,4057,Before,No
27, 25 Jul 2011,Hypercritical 27: Nakedly Optimistic, 96.1 ,5764,Before,No
28, 28 Jul 2011,"Hypercritical 28: Trust, But Verify", 83.1 ,4985,Before,No
29, 10 Aug 2011,Hypercritical 29: In Too Deep, 80.5 ,4830,Before,No
30, 17 Aug 2011,Hypercritical 30: Paths in the Grass, 68.4 ,4106,Before,No
31, 24 Aug 2011,Hypercritical 31: Strong Arguments for and Against, 81.4 ,4885,Before,No
32, 31 Aug 2011,Hypercritical 32: The Next Big Move, 92.0 ,5517,Before,No
33, 09 Sep 2011,Hypercritical 33: Square Bracket Colon Smiley, 77.2 ,4630,Before,No
34, 16 Sep 2011,Hypercritical 34: Pride in Craftsmanship, 89.9 ,5394,Before,No
35, 23 Sep 2011,Hypercritical 35: Wrestling an Alligator, 85.7 ,5142,Before,No
36, 30 Sep 2011,Hypercritical 36: Wedge, 86.0 ,5159,Before,No
37, 07 Oct 2011,Hypercritical 37: A Story of Triumph, 71.6 ,4297,Before,No
38, 14 Oct 2011,Hypercritical 38: Virtually Spotless, 87.3 ,5239,Before,No
39, 21 Oct 2011,Hypercritical 39: Quasimodo Backpack, 92.2 ,5532,Before,No
40, 28 Oct 2011,Hypercritical 40: When The Hobby Light Goes Off, 92.5 ,5551,Before,No
41, 04 Nov 2011,Hypercritical 41: The Homer, 99.6 ,5975,Before,No
42, 11 Nov 2011,Hypercritical 42: The Wrong Guy, 75.4 ,4522,Before,No
43, 18 Nov 2011,Hypercritical 43: The Scorpion and the Frog, 102.3 ,6139,Before,No
44, 25 Nov 2011,Hypercritical 44: A Little Bit More Sad, 71.6 ,4295,Before,No
45, 09 Dec 2011,Hypercritical 45: Star Wars is Not a Blog Post, 107.4 ,6442,Before,No
46, 16 Dec 2011,Hypercritical 46: Not Entirely Nefarious, 125.2 ,7509,Before,No
47, 23 Dec 2011,Hypercritical 47: Brute Force Attack, 99.0 ,5938,Before,No
48, 30 Dec 2011,Hypercritical 48: Blue Ocean, 123.3 ,7400,Before,No
49, 07 Jan 2012,Hypercritical 49: Pinching the Harmonica, 135.6 ,8138,Before,No
50, 13 Jan 2012,Hypercritical 50: Maximum Deflection in All Directions, 105.8 ,6347,Before,No
51, 20 Jan 2012,Hypercritical 51: Unjustified Confidence, 82.3 ,4935,After ,Yes
52, 27 Jan 2012,Hypercritical 52: Marked for Deletion, 132.6 ,7953,After ,Yes
53, 03 Feb 2012,Hypercritical 53: Brad Pitt Gets to Contribute, 93.4 ,5604,After ,No
54, 17 Feb 2012,Hypercritical 55: Region of Pain, 89.1 ,5348,After ,No
55, 24 Feb 2012,Hypercritical 56: Belt and Suspenders, 119.4 ,7164,After ,No
56, 02 Mar 2012,Hypercritical 57: Computational Skeuomorphism, 102.9 ,6175,After ,No
57, 09 Mar 2012,Hypercritical 58: No More Numbers For You / The Four Tuners, 109.0 ,6539,After ,No
58, 16 Mar 2012,Hypercritical 59: Safari is Apple's Google, 135.1 ,8105,After ,No
59, 23 Mar 2012,Hypercritical 60: Reversing the Polarity, 89.9 ,5391,After ,Yes
60, 30 Mar 2012,Hypercritical 61: I Ran Out of Bombs Long Ago, 107.8 ,6467,After ,No
61, 06 Apr 2012,Hypercritical 62: A Sack Containing Scum from a Pond, 106.0 ,6360,After ,No
62, 13 Apr 2012,Hypercritical 63: Talking to the Bear, 105.7 ,6342,After ,No
63, 20 Apr 2012,Hypercritical 64: You Will Die Instantly!, 100.1 ,6008,After ,No
64, 27 Apr 2012,Hypercritical 65: Look Right into the Eyes of Your Sweetie, 100.8 ,6048,After ,No
65, 04 May 2012,Hypercritical 66: The Housewives of Siracusa County, 126.2 ,7573,After ,No
66, 11 May 2012,Hypercritical 67: A Pill That Helps with Whatever, 121.5 ,7292,After ,No
67, 18 May 2012,Hypercritical 68: Patent Hands, 134.0 ,8041,After ,Yes
68, 25 May 2012,Hypercritical 69: Sport of Kings, 115.6 ,6935,After ,No
69, 01 Jun 2012,Hypercritical 70: Deja Vu, 99.6 ,5973,After ,No
70, 08 Jun 2012,Hypercritical 71: Bristling With Controls, 106.5 ,6391,After ,Yes
71, 16 Jun 2012,Hypercritical 72: Seven Levels of Air Quotes, 69.2 ,4150,After ,Yes
72, 22 Jun 2012,Hypercritical 73: 22 Degrees, 102.4 ,6146,After ,No
73, 29 Jun 2012,Hypercritical 74: Everybody Wants to Rule the World, 119.1 ,7148,After ,Yes
74, 06 Jul 2012,Hypercritical 75: Just a Dinosaur, 92.6 ,5557,After ,Yes
