Episode,Show,Time,Date,Minutes
1,Build and Analyze,0:36:37,11/11/10,36.61666667
2,Build and Analyze,0:58:38,11/18/10,58.63333333
3,Build and Analyze,0:44:33,12/2/10,44.55
4,Build and Analyze,0:40:47,12/9/10,40.78333333
5,Build and Analyze,1:06:13,12/17/10,66.21666667
6,Build and Analyze,0:52:04,12/23/10,52.06666667
7,Build and Analyze,0:56:55,1/6/11,56.91666667
8,Build and Analyze,1:11:10,1/12/11,71.16666667
9,Build and Analyze,0:42:23,1/20/11,42.38333333
10,Build and Analyze,1:01:01,1/27/11,61.01666667
11,Build and Analyze,1:05:40,2/2/11,65.66666667
12,Build and Analyze,0:54:07,2/9/11,54.11666667
13,Build and Analyze,1:20:55,2/23/11,80.91666667
14,Build and Analyze,1:37:30,3/2/11,97.5
15,Build and Analyze,1:30:14,3/9/11,90.23333333
16,Build and Analyze,1:21:20,3/16/11,81.33333333
17,Build and Analyze,1:25:19,3/21/11,85.31666667
18,Build and Analyze,1:32:02,3/28/11,92.03333333
19,Build and Analyze,1:46:23,4/4/11,106.3833333
20,Build and Analyze,1:20:26,4/11/11,80.43333333
21,Build and Analyze,1:39:35,4/18/11,99.58333333
22,Build and Analyze,1:38:57,4/25/11,98.95
23,Build and Analyze,1:13:45,5/2/11,73.75
24,Build and Analyze,1:08:06,5/9/11,68.1
25,Build and Analyze,1:13:32,5/16/11,73.53333333
26,Build and Analyze,1:12:50,5/25/11,72.83333333
27,Build and Analyze,1:18:03,5/31/11,78.05
28,Build and Analyze,1:04:05,6/7/11,64.08333333
29,Build and Analyze,1:16:06,6/16/11,76.1
30,Build and Analyze,1:16:38,6/22/11,76.63333333
31,Build and Analyze,1:34:07,6/30/11,94.11666667
32,Build and Analyze,1:24:21,7/5/11,84.35
33,Build and Analyze,1:34:43,7/13/11,94.71666667
34,Build and Analyze,1:19:27,7/21/11,79.45
35,Build and Analyze,1:17:01,7/29/11,77.01666667
36,Build and Analyze,1:26:48,8/4/11,86.8
37,Build and Analyze,1:25:45,8/11/11,85.75
38,Build and Analyze,1:24:42,8/16/11,84.7
39,Build and Analyze,1:18:38,8/22/11,78.63333333
40,Build and Analyze,1:24:30,8/30/11,84.5
41,Build and Analyze,1:12:55,9/6/11,72.91666667
